05/15/2020 01:46:51 PM findfont: Matching :family=cmss10:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to cmss10 ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=cmex10:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to cmex10 ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=DejaVu Sans:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=DejaVu Sans:style=italic:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf') with score of 0.150000.
05/15/2020 01:46:51 PM findfont: Matching :family=DejaVu Sans:style=normal:variant=normal:weight=bold:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf') with score of 0.000000.
05/15/2020 01:46:51 PM findfont: Matching :family=DejaVu Sans Mono:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans Mono ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=DejaVu Sans Display:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans Display ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM Assigning font /b'F1' = 'C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf'
05/15/2020 01:46:51 PM Assigning font /b'F2' = 'C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf'
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM Embedding font C:\Program Files\Python36\lib\site-packages\matplotlib\mpl-data\fonts\ttf\DejaVuSans-Oblique.ttf.
05/15/2020 01:46:51 PM Writing TrueType font.
05/15/2020 01:46:51 PM Embedding font C:\Program Files\Python36\lib\site-packages\matplotlib\mpl-data\fonts\ttf\DejaVuSans.ttf.
05/15/2020 01:46:51 PM Writing TrueType font.
